PTNUM Month ChangeDistance AlterID prxsk sepds sfhvn secbs
7081 12 0 31 NA NA NA NA
7086 0 NA 2 1 1 0 0
7086 12 -2 2 NA NA NA NA
7086 0 NA 16 4 4 2 2
7086 12 0 16 NA NA NA NA
7088 12 0 31 NA NA NA NA
7088 12 1 35 NA NA NA NA
7091 0 NA 21 3 3 1 3
7091 12 0 21 NA NA NA NA
7092 0 NA 28 NA 0 1 0
7092 9 0 28 NA 0 1 0
7092 0 NA 30 3 4 1 3
7092 9 -1 30 NA NA NA NA
7095 0 NA 22 1 1 1 3
7095 9 1 22 NA NA NA NA
7095 12 0 22 NA NA NA NA
7095 0 NA 17 3 3 5 5
7095 9 0 17 3 3 5 5
7095 12 -1 17 NA NA NA NA
7095 0 NA 22 1 1 1 3
7095 9 1 22 NA NA NA NA
7095 12 0 22 NA NA NA NA
7096 0 NA 2 0 5 0 6
7096 9 -1 2 NA NA NA NA
7096 12 -1 2 0 0 0 0
7096 0 NA 5 0 0 0 1
7096 9 -1 5 NA NA NA NA
7096 12 -1 5 0 0 0 0
7096 0 NA 11 0 0 0 2
7096 9 1 11 NA NA NA NA
7096 12 -1 11 1 2 2 1
7096 0 NA 12 5 5 5 5
7096 9 1 12 NA NA NA NA
7096 12 1 12 5 4 5 5
7096 0 NA 16 1 1 0 0
7096 9 1 16 NA NA NA NA
7096 12 -1 16 1 1 1 0
7096 0 NA 19 6 6 6 6
7096 9 1 19 NA NA NA NA
7096 12 1 19 6 6 6 6
7096 0 NA 20 0 0 0 0
7096 9 1 20 NA NA NA NA
7096 12 -1 20 0 0 0 0
7096 0 NA 23 2 3 3 5
7096 9 -1 23 NA NA NA NA
7096 12 8 23 NA NA NA NA
7096 0 NA 27 3 3 4 3
7096 9 -1 27 NA NA NA NA
7096 12 -1 27 0 0 4 4
7096 9 0 31 NA NA NA NA
7096 12 NA 31 6 6 5 5
7096 0 NA 8 0 0 0 0
7096 9 1 8 3 4 4 2
7096 12 1 8 NA NA NA NA
7098 0 NA 14 4 3 0 0
7098 9 1 14 NA NA NA NA
7101 9 -1 31 0 0 0 0
7101 12 9 31 NA NA NA NA
7103 0 NA 7 1 1 1 1
7103 6 1 7 NA NA NA NA
7103 9 0 7 NA NA NA NA
7103 12 0 7 NA NA NA NA
7103 0 NA 28 4 2 2 0
7103 6 -1 28 NA NA NA NA
7103 9 -1 28 0 0 0 0
7103 12 -1 28 0 0 0 0
7103 0 NA 29 5 4 3 1
7103 6 -1 29 NA NA NA NA
7103 9 -1 29 0 0 0 0
7103 12 -1 29 0 0 0 0
7103 0 NA 7 1 1 1 1
7103 6 1 7 NA NA NA NA
7103 9 0 7 NA NA NA NA
7103 12 0 7 NA NA NA NA
7103 0 NA 7 1 1 1 1
7103 6 1 7 NA NA NA NA
7103 9 0 7 NA NA NA NA
7103 12 0 7 NA NA NA NA
7103 0 NA 20 0 0 0 0
7103 6 0 20 0 0 0 0
7103 9 -1 20 1 0 0 0
7103 12 -1 20 NA NA NA NA
7104 0 NA 28 3 3 2 0
